Datum;BIEL-BENKEN - Niederschlag (mm oder Liter/m2);AESCH-BL - Niederschlag (mm oder Liter/m2);WALLBACH - Niederschlag (mm oder Liter/m2);FRICK - Niederschlag (mm oder Liter/m2);OBERFLACHS - Niederschlag (mm oder Liter/m2);GRAENICHEN - Niederschlag (mm oder Liter/m2);SEENGEN - Niederschlag (mm oder Liter/m2);BIRMENSTORF - Niederschlag (mm oder Liter/m2);LEUGGERN - Niederschlag (mm oder Liter/m2);TEGERFELDEN - Niederschlag (mm oder Liter/m2);ENDINGEN - Niederschlag (mm oder Liter/m2);KUENTEN - Niederschlag (mm oder Liter/m2);STEINMAUR - Niederschlag (mm oder Liter/m2);WIL-SG - Niederschlag (mm oder Liter/m2);WIL-ZH - Niederschlag (mm oder Liter/m2);HALLAU - Niederschlag (mm oder Liter/m2);UHWIESEN - Niederschlag (mm oder Liter/m2);LINDAU - Niederschlag (mm oder Liter/m2);LIEBENSBERG - Niederschlag (mm oder Liter/m2);UESSLINGEN - Niederschlag (mm oder Liter/m2);MAMMERN - Niederschlag (mm oder Liter/m2);DETTIGHOFEN - Niederschlag (mm oder Liter/m2);THUNDORF - Niederschlag (mm oder Liter/m2);WEINFELDEN - Niederschlag (mm oder Liter/m2)
02.05.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.05.2011;2.4;5.4;2.8;2.2;2;12.6;12.4;4;6.8;8.2;2.8;7.6;0;8.6;5;3.2;3.2;6;11.4;8.6;4.8;8.4;10.8;9
04.05.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.05.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.05.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.05.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.05.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.05.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.05.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.05.2011;1.8;2.8;3.2;0;1.8;0;0;0;0;0;0;0;0;0.4;0;0.6;0.6;0;0;0.4;0;0;0;0
12.05.2011;4;3.4;3.8;0.9;1.8;16.6;10.6;0.6;1;0.4;0.2;11.2;0;12;0;3.4;3.4;10.8;4.4;12;1.8;1.2;5.2;6.2
13.05.2011;0;0;0;0.3;0;0;0;0;0;0;0;0;0;4.6;0;0;0;0;0;4.6;0;0;0;0
14.05.2011;4.4;8.8;6;5.7;5.4;13.6;16;12.8;6.8;8.8;6.8;23.8;0;29.6;13;7.4;7.4;20.6;16.8;29.6;13.6;15.6;21.2;17.4
15.05.2011;1;0.8;1.6;0.4;0.2;2.6;3;9.8;7.6;4.8;7.2;16.8;0;13;13;2.2;2.2;12.4;3.2;13;3.8;5.6;8.8;7.2
16.05.2011;0.6;1.8;0.2;0.2;0;0.4;0.4;0;0.2;0;0;0.2;0;2.4;1;0.8;0.8;0;2.2;2.4;1.4;1.4;2.4;1
17.05.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18.05.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.05.2011;10.2;4.4;0;0.7;0;0.2;0;0;0;0.2;0;0;0;0.2;0;0;0;0.4;0;0.2;0;0;0;0.4
20.05.2011;0;0;0;0;0;0;0;0.4;0;0;0;0;0;7.8;0;8.4;8.4;0;0;7.8;0;0;0;0.4
21.05.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.05.2011;0;6.6;5;0.9;1.4;2.4;0;0;2.8;0.2;0.2;0;0;6.4;0;0;0;7.2;0;6.4;16.6;16.6;2.6;4.2
23.05.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.05.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25.05.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.05.2011;0;0.8;0.2;0;0;2.6;2.6;2.2;0;0.2;0.2;1.8;0;3.2;0;0;0;1.6;1;3.2;2.6;0.6;12.4;13.8
27.05.2011;0.4;0.4;0.6;3.5;0.8;10.6;11.4;4.8;4;3;3.2;8.4;0;7.6;3;2.8;2.8;7.6;4.8;7.6;7.8;8.8;5.8;9.4
28.05.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29.05.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30.05.2011;0.2;0.2;0;0;3.4;3.8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0
31.05.2011;13.8;18;19.2;19.8;17.8;15.4;15.8;18.2;17.4;19;13.2;18.2;0;21.6;10;11.6;11.6;27.8;19.8;21.6;8.8;6.8;19;15.2
01.06.2011;6;5;3.4;5.6;3.2;3.6;4.6;5;2.4;3.4;3.2;5.2;0;4;3;3.4;3.4;6;4.4;4;2.8;0;6;5.6
